	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019		AVG	TREND	MIN	MAX	RANGE	
																											
AG Upper Basin	"2,679,554"	"2,811,088"	"2,627,818"	"2,583,425"	"2,333,182"	"2,348,081"	"2,436,193"	"2,609,396"	"2,576,135"	"2,572,711"	"2,609,340"	"2,636,761"	"3,152,758"	"2,556,291"	"2,388,635"	"2,181,115"	"2,725,430"	"2,871,983"	"3,114,235"	"2,822,202"		"2,631,817"	5%				
AG exports Upper Basin	"194,691"	"228,240"	"266,537"	"195,473"	"211,958"	"211,390"	"231,949"	"254,054"	"226,101"	"280,131"	"229,487"	"194,923"	"241,626"	"210,876"	"190,127"	"187,210"	"150,343"	"198,525"	"232,408"	"208,590"		"217,232"	7%				
AG total Upper Basin	"2,874,245"	"3,039,327"	"2,894,355"	"2,778,898"	"2,545,140"	"2,559,471"	"2,668,142"	"2,863,449"	"2,802,236"	"2,852,842"	"2,838,827"	"2,831,683"	"3,394,384"	"2,767,168"	"2,578,763"	"2,368,324"	"2,875,773"	"3,070,507"	"3,346,643"	"3,030,792"			5%				
AG Lower Basin	"5,553,286"	"5,694,452"	"5,920,989"	"5,341,421"	"5,092,248"	"4,851,316"	"5,231,297"	"5,226,424"	"5,173,231"	"4,847,711"	"4,765,773"	"5,209,431"	"5,229,938"	"4,941,665"	"4,918,644"	"4,722,207"	"4,691,003"	"4,645,808"	"4,841,994"	"4,670,792"		"5,078,481"	-16%				
AG exports Lower Basin	"283,256"	"279,583"	"284,752"	"255,255"	"274,010"	"262,100"	"283,217"	"268,295"	"257,195"	"265,362"	"263,281"	"266,039"	"283,435"	"284,778"	"300,460"	"294,178"	"306,468"	"288,376"	"290,710"	"295,815"		"279,328"	4%				
AG total Lower Basin	"5,836,541"	"5,974,035"	"6,205,741"	"5,596,676"	"5,366,258"	"5,113,416"	"5,514,514"	"5,494,719"	"5,430,426"	"5,113,073"	"5,029,054"	"5,475,471"	"5,513,373"	"5,226,443"	"5,219,104"	"5,016,386"	"4,997,471"	"4,934,184"	"5,132,704"	"4,966,607"		"5,357,810"	-15%				
																											
																											
MCI Upper Basin	"256,326"	"258,569"	"260,076"	"262,749"	"265,286"	"268,321"	"265,801"	"258,296"	"259,501"	"260,899"	"255,065"	"259,955"	"259,544"	"257,980"	"255,357"	"250,439"	"245,737"	"249,465"	"241,942"	"251,612"		"257,146"	-2%				
MCI exports Upper Basin	"476,657"	"558,794"	"652,556"	"478,572"	"518,932"	"517,541"	"567,876"	"621,993"	"553,558"	"685,839"	"561,847"	"477,224"	"591,568"	"516,283"	"465,484"	"458,341"	"368,081"	"486,044"	"568,998"	"510,686"		"531,844"	7%				
MCI total Upper Basin	"732,983"	"817,363"	"912,632"	"741,320"	"784,219"	"785,862"	"833,677"	"880,289"	"813,059"	"946,737"	"816,911"	"737,179"	"851,112"	"774,263"	"720,841"	"708,780"	"613,818"	"735,508"	"810,940"	"762,298"		"788,990"	4%				
MCI Lower Basin	"2,489,103"	"2,482,091"	"2,513,429"	"1,972,427"	"2,030,348"	"1,965,369"	"1,919,458"	"1,978,283"	"2,109,475"	"2,341,664"	"2,320,553"	"1,890,710"	"1,946,009"	"2,221,540"	"2,381,872"	"2,320,194"	"2,145,224"	"1,784,555"	"2,053,233"	"1,643,397"		"2,125,447"	-34%				
MCI exports Lower Basin	"1,342,018"	"1,309,565"	"1,323,438"	"807,513"	"762,784"	"935,322"	"870,707"	"731,954"	"846,924"	"1,114,674"	"1,088,272"	"1,008,361"	"769,676"	"829,695"	"1,188,441"	"1,244,612"	"1,104,714"	"711,549"	"955,907"	"737,954"		"984,204"	-45%				
MCI total Lower Basin	"3,831,120"	"3,791,656"	"3,836,866"	"2,779,940"	"2,793,133"	"2,900,691"	"2,790,164"	"2,710,237"	"2,956,398"	"3,456,338"	"3,408,825"	"2,899,071"	"2,715,685"	"3,051,235"	"3,570,313"	"3,564,806"	"3,249,938"	"2,496,105"	"3,009,140"	"2,381,352"		"3,109,651"	-38%				
																											
																											
METRIC																											
																											
AG Upper Basin	3305	3467	3241	3187	2878	2896	3005	3219	3178	3173	3219	3252	3889	3153	2946	2690	3362	3543	3841	3481		"3,246"		2690	3889	1199	
AG exports Upper Basin	240	282	329	241	261	261	286	313	279	346	283	240	298	260	235	231	185	245	287	257		268		185	346	160	
