																									
		UPPER BASIN		EXPORTS - UPPER BASIN		TOTAL UPPER BASIN		LOWER BASIN (w/o GILA)		EXPORTS - LOWER BASIN		TOTAL LOWER BASIN		GILA BASIN		MEXICO		MEXICO - EXPORTS		TOTAL MEXICO		TOTAL COLORADO RIVER			
		Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total unit	Water consumed	% of total consumption		
"Municipal, Commercial & Industrial"		317.18	5%	657.3	71%	974.49	13%	"1,407.70"	13%	"1,214.00"	78%	"2,621.70"	21%	522.52	24%			252.28	100%	252	13%	"4,371"	18%		
Irrigated agriculture 		"3,246.29"	50%	266.67	29%	"3,512.96"	48%	"6,265.52"	59%	344.55	22%	"6,610.06"	54%	725.55	34%	"1,598.83"	91%			"1,599"	80%	"12,447"	52%		
	Alfalfa	"2,077.63"	64%	136	51%	"2,213.63"	30%	"3,195.41"	51%	151.6	44%	"3,347.01"	27%	391.8	54%	416	26%			416	21%	"6,368"	27%		
	Other Hay	908.96	28%	24	9%	932.96	13%	501.24	8%	41.35	12%	542.59	4%	21.77	3%	16	1%			16	1%	"1,513"	6%		
	Almonds									0.03	0.01%	0.03	0.00%									0.1	0.00%		
	Barley			3	1%	2.67	0.04%							21.77	3%							24	0.10%		
	Corn	129.85	4%	75	28%	204.52	3%	12.53	0.20%	1.03	0.30%	13.56	0.10%	21.77	3%							240	1%		
	Cotton							250.62	4%	1.03	0.30%	251.65	2%	181.39	25%	288	18%			288	14%	721	3%		
	Dry Beans	32.46	1%	3	1%	35.13	0.50%							1.45	0.20%							37	0.20%		
	Grapes									2.27	1%											2	0.01%		
	Oats	32.46	1%	1	0.30%	33.26	0.50%	12.53	0.20%	0.69	0.20%	13.22	0.10%	7.26	1%							54	0.20%		
	Oranges							56.39	0.90%	3.45	1%	59.84	0.50%	0.73	0.10%							61	0.30%		
	Pecans													14.51	2%							15	0.10%		
	Potatoes							6.27	0.10%	0.34	0.10%	6.61	0.10%	0.73	0.10%							7	0.03%		
	Sorghum			1	0.30%	0.8	0.0001							7.26	1%	64	4%			64	3%	72	0.30%		
	Sugarbeets			11	4%	10.67	0.001	125.31	2%	13.78	4%	139.09	1%									150	1%		
	Sweet Corn							18.8	0.30%	1.03	0.30%	19.83	0.20%									20	0.10%		
	"Wheat (durum, spring, winter)"	64.93	2%	11	4%	75.59	1.00%	375.93	6%	20.67	6%	396.6	3%	58.04	8%	799	50%			799	40%	"1,330"	6%		
	Other							"1,503.72"	24%	89.58	26%	"1,593.31"	13%			32	2%			32	2%	"1,625"	6.80%		
Reservoir Evaporation		"1,139.67"	18%			"1,139.67"	15%	"1,234.65"	12%			"1,234.65"	10%	154.19	7%							"2,529"	11%		
	Lake Powell	764.14	12%			764.14	10%															764	3%		
	Lake Mead							728.68	7%			728.68	6%									729	3%		
Riparian & Wetland ET		"1,757.32"	27%			"1,757.32"	24%	"1,752.74"	16%			"1,752.74"	14%	742.52	35%	149.51	9%			150	7%	"4,402"	19%		
																									
GRAND TOTALS		"6,460.47"		923.97		"7,384.44"		"10,660.60"		"1,558.54"		"12,219.15"		"2,144.78"		"1,748"		252		"2,001"		"23,749"			
PERCENTAGE		27%		4%		31%		45%		7%		51%		9%		7%		1%		8%		100%			
